rank,offer_id,topsis_score,throughput,latency,cost,energy,feasible
1,1,0.9919120862861914,874.7741023118635,0.00823418379794322,4.206394465506624,0.10574233403062294,True
2,16,0.8887676879589633,668.6807831808815,0.010773441290705984,4.206394465506624,0.10574233403062294,True
3,5,0.7135028496901541,407.08975420263727,0.017702646756869514,31.357271910228825,0.10574233403062294,True
4,12,0.6722260162021276,414.41238605261003,0.017389561859361382,45.45868944397296,0.10574233403062294,True
5,9,0.6697021018451496,170.10848528956458,0.0424185693698522,4.206394465506624,0.10574233403062294,True
6,6,0.6642286638459933,752.9185838250135,0.009567496020818406,2.873342263072154,11.877910618016374,True
7,3,0.6642286638459933,752.9185838250135,0.009567496020818406,2.873342263072154,11.877910618016374,True
8,14,0.6484133643643718,128.4550943328467,0.056213413803793695,4.206394465506624,0.10574233403062294,True
9,8,0.6005447728154752,752.9185838250135,0.009567496020818406,40.046351210961674,11.877910618016374,True
10,15,0.5898438931865562,64.53181763833985,0.11222132270675897,4.206394465506624,0.10574233403062294,True
11,10,0.5898438931865562,64.53181763833985,0.11222132270675897,4.206394465506624,0.10574233403062294,True
12,7,0.5898438931865562,64.53181763833985,0.11222132270675897,4.206394465506624,0.10574233403062294,True
13,17,0.5487516193477775,414.41238605261003,0.017389561859361382,86.74122491393393,0.10574233403062294,True
14,13,0.4746859889677274,170.10848528956458,0.0424185693698522,94.14373854089746,0.10574233403062294,True
15,4,0.40066655615771374,31.596443953199394,0.23061194183042846,2.873342263072154,11.877910618016374,True
16,2,0.1420689581490024,31.596443953199394,0.23061194183042846,69.02186279802957,11.877910618016374,True
17,11,0.1420689581490024,31.596443953199394,0.23061194183042846,69.02186279802957,11.877910618016374,True
