rank,offer_id,topsis_score,throughput,latency,cost,energy,feasible
1,2,0.9686380567603043,406.7207077007759,0.11834294317462521,2.0641962085870267,0.43643100141249613,True
2,11,0.8789037814704374,406.7207077007759,0.11834294317462521,5.93453068696507,0.43643100141249613,True
3,16,0.8578742459420616,451.2607613440868,0.10663319704878736,6.897963462100856,0.43643100141249613,True
4,6,0.8272191857985989,235.21224494636778,0.20504928577548867,4.354271399172486,5.320109605639378,True
5,5,0.8134162700292945,223.6487910944546,0.21570481573129793,5.738983989512143,0.43643100141249613,True
6,1,0.7973295897727601,451.2607613440868,0.10663319704878736,6.036190897277315,16.44080814631087,True
7,15,0.7918277617736843,451.2607613440868,0.10663319704878736,9.663920437870138,0.43643100141249613,True
8,13,0.7614072471949817,451.2607613440868,0.10663319704878736,11.111122480477958,0.43643100141249613,True
9,9,0.7614072471949817,451.2607613440868,0.10663319704878736,11.111122480477958,0.43643100141249613,True
10,14,0.7614072471949817,451.2607613440868,0.10663319704878736,11.111122480477958,0.43643100141249613,True
11,10,0.7255386321727887,451.2607613440868,0.10663319704878736,10.141132090775834,16.44080814631087,True
12,4,0.586084721154797,406.7207077007759,0.11834294317462521,4.178374713742535,46.81829013121058,True
13,3,0.5030002700280544,34.65508045249205,1.4327961957482125,4.354271399172486,5.320109605639378,True
14,8,0.5030002700280544,34.65508045249205,1.4327961957482125,4.354271399172486,5.320109605639378,True
15,12,0.49055496513514646,451.2607613440868,0.10663319704878736,10.05365915213292,61.25821323822637,True
16,17,0.49055496513514646,451.2607613440868,0.10663319704878736,10.05365915213292,61.25821323822637,True
17,7,0.4696752240749593,31.93293396777395,1.559682593814103,11.111122480477958,0.43643100141249613,True
