rank,offer_id,topsis_score,throughput,latency,cost,energy,feasible
1,10,0.9232253133581481,1178.0006570596875,0.020383741244857083,8.383387797098607,1.5060982052868432,True
2,12,0.8689043719308077,894.4013733678053,0.02685136044743786,6.154680260708334,1.5060982052868432,True
3,6,0.8034192376472531,684.8067570549372,0.03507671323746545,1.021907053123594,1.4730404345806858,True
4,5,0.7603686769348121,578.4348023173604,0.04153380771215386,2.4914565778710873,1.4730404345806858,True
5,15,0.711774096541525,499.33426034505527,0.04812108809860626,8.383387797098607,1.5060982052868432,True
6,17,0.711774096541525,499.33426034505527,0.04812108809860626,8.383387797098607,1.5060982052868432,True
7,8,0.6539071596042841,565.0105128467721,0.04252166162759784,1.021907053123594,12.47536947070832,True
8,1,0.6295848819110188,323.08436573699424,0.07442057239341038,8.383387797098607,1.5060982052868432,True
9,14,0.6295848819110188,323.08436573699424,0.07442057239341038,8.383387797098607,1.5060982052868432,True
10,16,0.6295848819110188,323.08436573699424,0.07442057239341038,8.383387797098607,1.5060982052868432,True
11,13,0.6295848819110188,323.08436573699424,0.07442057239341038,8.383387797098607,1.5060982052868432,True
12,11,0.617921356199212,894.4013733678053,0.02685136044743786,1.021907053123594,19.504505651336522,True
13,9,0.6158575823423253,323.08436573699424,0.07442057239341038,12.26331293001346,1.5060982052868432,True
14,7,0.6083247933044355,809.6945546608094,0.02966249426074137,1.021907053123594,19.504505651336522,True
15,2,0.3243640325659101,894.4013733678053,0.02685136044743786,58.42514547542896,19.504505651336522,True
16,4,0.3171700999163632,809.6945546608094,0.02966249426074137,55.319604961314816,19.504505651336522,True
17,3,0.250371178660421,565.0105128467721,0.04252166162759784,69.74150922131086,12.47536947070832,True
